[BASH] Running the hybrid graph500 for scale 21 with sorted edges
Initializing the shares for Hybrid platform.
	time_init:15804.01	time_par:784.06	rmt_vertex:50	rmt_edge:50	beta:2	pid0:50,50,25,25	pid1:50,50,25,25	
total	exec	init	comp	comm	finalize	cpu_comp	gpu_comp	gpu_total_comp	scatter	gather	aggr	trv_edges	exec_rate
2466.89	2391.67	5.42	483.27	1908.39	0.00	287.83	477.49	477.49	94.02	15.79	0.79	67108862	0.0281
2891.12	2812.73	7.33	2642.33	170.38	0.00	598.26	2616.40	2616.40	12.90	16.76	0.81	67108862	0.0239
2947.08	2840.72	37.42	2744.81	95.90	0.00	312.41	2708.98	2708.98	27.93	15.54	0.79	67108862	0.0236
712.25	635.45	5.32	499.08	136.35	0.00	260.55	486.10	486.10	65.39	17.37	0.83	67108862	0.1056
761.80	661.85	32.55	346.85	314.99	0.00	214.13	323.24	323.24	50.93	14.99	0.80	67108862	0.1014
858.11	795.85	10.15	599.24	196.60	0.00	228.27	585.26	585.26	60.38	14.76	0.82	67108862	0.0843
952.35	869.82	12.69	445.82	423.99	0.00	260.16	371.35	371.35	90.02	23.00	0.80	67108862	0.0772
1382.92	1300.77	8.94	445.24	855.53	0.00	267.85	437.67	437.67	49.93	22.03	0.77	67108862	0.0516
1430.20	1343.84	24.20	1246.83	96.99	0.00	334.19	1206.16	1206.16	16.26	18.67	0.79	67108862	0.0499
841.34	788.78	5.02	680.09	108.67	0.00	204.01	668.70	668.70	50.07	21.14	0.76	67108862	0.0851
934.86	834.28	29.68	448.54	385.72	0.00	272.62	422.45	422.45	68.29	20.68	5.30	67108862	0.0804
1209.07	1133.03	4.71	519.35	613.62	0.00	239.83	509.19	509.19	64.75	16.11	0.75	67108862	0.0592
1431.77	1216.47	148.97	975.87	240.59	0.00	331.90	929.71	929.71	25.06	26.90	0.79	67108862	0.0552
904.78	813.50	10.00	346.36	467.10	0.00	240.48	340.05	340.05	44.01	14.80	6.17	67108862	0.0825
761.49	691.73	13.62	463.37	228.34	0.00	242.94	428.49	428.49	17.68	16.68	0.77	67108862	0.0970
4212.90	4120.54	21.63	3948.21	172.32	0.00	570.84	3902.20	3902.20	154.66	14.84	1.30	67108862	0.0163
4195.28	4094.86	32.50	3954.87	139.96	0.00	712.67	3899.32	3899.32	19.77	22.71	1.13	67108862	0.0164
2561.60	2452.26	38.91	2326.93	125.32	0.00	500.71	2306.05	2306.05	13.37	33.58	0.74	67108862	0.0274
2531.70	2463.03	4.38	1085.52	1377.50	0.00	335.82	1061.67	1061.67	38.73	19.42	0.78	67108862	0.0272
712.47	622.86	26.18	509.83	113.01	0.00	283.02	460.01	460.01	62.79	18.39	0.75	67108862	0.1077
3190.98	3099.08	44.29	2963.97	135.10	0.00	448.40	2891.81	2891.81	13.92	16.19	0.78	67108862	0.0217
1219.69	1166.09	3.15	1110.14	55.93	0.00	247.20	1082.94	1082.94	12.09	13.86	0.74	67108862	0.0576
938.06	866.06	7.33	760.64	105.40	0.00	199.50	750.31	750.31	95.94	17.09	1.08	67108862	0.0775
2422.69	2327.93	20.33	2193.56	134.36	0.00	403.38	2125.17	2125.17	15.37	16.54	0.83	67108862	0.0288
753.34	674.32	4.79	586.67	87.64	0.00	288.40	564.77	564.77	37.74	17.17	0.99	67108862	0.0995
604.81	520.87	11.86	400.43	120.42	0.00	261.32	351.86	351.86	71.02	19.03	0.92	67108862	0.1288
781.62	699.10	4.00	607.03	92.05	0.00	317.42	595.63	595.63	42.11	18.98	0.84	67108862	0.0960
575.63	507.98	5.81	427.16	80.80	0.00	193.38	404.06	404.06	36.65	13.54	0.95	67108862	0.1321
573.86	489.15	17.45	409.56	79.58	0.00	237.91	398.24	398.24	41.28	17.20	0.90	67108862	0.1372
675.49	596.23	5.12	501.99	94.23	0.00	272.66	478.90	478.90	51.23	20.57	0.83	67108862	0.1126
1051.87	975.57	7.43	851.82	123.73	0.00	376.39	831.11	831.11	109.02	20.70	1.07	67108862	0.0688
1642.49	1569.74	4.13	1497.55	72.17	0.00	470.48	1435.81	1435.81	13.39	16.94	1.00	67108862	0.0428
SCALE: 21
nvtx: 2097152
edgefactor: 16
terasize: 5.36870911999999989e-04
A: 5.69999999999999951e-01
B: 1.90000000000000002e-01
C: 1.90000000000000002e-01
D: 5.00000000000000444e-02
generation_time: 0.00000000000000000e+00
construction_time: 2.79890411599999993e+01
nbfs: 100
min_time: 3.37699000000953653e-01
firstquartile_time: 8.26746999889612200e-01
median_time: 1.48693600004911408e+00
thirdquartile_time: 3.33451825010776526e+00
max_time: 5.62672200024127989e+00
mean_time: 2.03608738998770677e+00
stddev_time: 1.42825780361479415e+00
min_nedge: 3.35540490000000000e+07
firstquartile_nedge: 3.35540490000000000e+07
median_nedge: 3.35540490000000000e+07
thirdquartile_nedge: 3.35540490000000000e+07
max_nedge: 3.35540490000000000e+07
mean_nedge: 3.35540490000000000e+07
stddev_nedge: 0.00000000000000000e+00
min_TEPS: 5.96333868966001272e+06
firstquartile_TEPS: 1.06303866497080866e+07
median_TEPS: 2.45504568351680413e+07
thirdquartile_TEPS: 4.21103311781988293e+07
max_TEPS: 9.93608183616334200e+07
harmonic_mean_TEPS: 1.64796703545237221e+07
harmonic_stddev_TEPS: 1.16182606189150852e+06
SCALE: 21
nvtx: 2097152
edgefactor: 16
terasize: 5.36870911999999989e-04
A: 5.69999999999999951e-01
